TITULAR;UNIDAD;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ACCIDENTE;CATEGORIA;FECHA_ACCIDENTE;FECHA_FALLECIMIENTO
VOLCAN COMPAÑÍA MINERA S.A.A.;SAN CRISTOBAL;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;11/09/2003;11/09/2003
COMPAÑIA MINERA LAFAYETTE S.A.;LA MONA;JUNIN;YAULI;MARCAPOMACOCHA;DESPRENDIMIENTO DE ROCAS;Pequeña Minería;18/10/2003;18/10/2003
SOCIEDAD MINERA CORONA S.A.;ANTICONA;JUNIN;YAULI;YAULI;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;29/10/2003;29/10/2003
SOCIEDAD MINERA CORONA S.A.;ANTICONA;JUNIN;YAULI;YAULI;INTOXICACION-ASFIXIA-ABSORCION-RADIACIONES;Gran y Mediana Minería;29/10/2003;29/10/2003
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;GOLPES POR OBJETOS EN DETONACIÓN DE EXPLOSIVOS;Gran y Mediana Minería;10/11/2003;10/11/2003
NEXA RESOURCES PERU S.A.A.;PORVENIR;PASCO;PASCO;PALLANCHACRA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;23/11/2003;23/11/2003
EMPRESA ADMINISTRADORA CHUNGAR S.A.C.;ANIMON;PASCO;PASCO;HUAYLLAY;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;27/11/2003;27/11/2003
VOLCAN COMPAÑÍA MINERA S.A.A.;SAN CRISTOBAL;JUNIN;YAULI;YAULI;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;29/11/2003;29/11/2003
EMPRESA MINERA LOS QUENUALES S.A.;CASAPALCA;LIMA;HUAROCHIRI;CHICLA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;11/12/2003;11/12/2003
COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.;UCHUCCHACUA;LIMA;OYON;OYON;OTROS - ESTALLIDO DE ROCAS;Gran y Mediana Minería;12/12/2003;12/12/2003
ARUNTANI S.A.C.;SANTA ROSA;PUNO;EL COLLAO;SANTA ROSA;DESPRENDIMIENTO DE ROCAS;Gran y Mediana Minería;13/12/2003;13/12/2003
SOCIEDAD MINERA CORONA S.A.;ANTICONA;JUNIN;YAULI;YAULI;CAÍDAS DE PERSONAS;Gran y Mediana Minería;11/01/2004;11/01/2004
SOCIEDAD MINERA CORONA S.A.;ANTICONA;JUNIN;YAULI;YAULI;OTRO TIPOS - CAMPANEO;Gran y Mediana Minería;22/01/2004;22/01/2004
CONSORCIO MINERO HORIZONTE S.A.;CACHICA;LA LIBERTAD;PATAZ;HUAYO;EXPOSICIÓN A, O CONTACTO CON ENERGÍA ELÉCTRICA;Gran y Mediana Minería;5/02/2004;5/02/2004
